ID,物品名称,价格,重量,描述,分类
op_010,EMP手雷,300,0.5,瘫痪范围内的电子设备。,武器
op_011,闪光震撼弹,150,0.5,致盲义眼和震慑敌人。,武器
op_012,热成像护目镜,1200,0.4,穿透烟雾看到热源。,装备
op_013,信号增强器,600,0.3,在屏蔽区域强行联网。,信息用具
op_014,陶瓷防弹插板,400,1,插入战术背心的硬质装甲。,装备
op_015,气动消音器,550,0.3,极大降低枪声，但这也会降低威力。,装备
op_016,电子开锁器,1100,0.4,自动暴力破解电子门锁。,信息用具
op_017,定向爆破贴片,450,0.2,炸开门锁或墙壁，威力可控。,武器
op_018,实时生物监测仪,900,0.1,监控心率和毒素水平。,强化器官
op_019,肾上腺素增强剂,350,0.1,暂时提升反应速度和力量。,药品
op_020,赛博甲板冷却液,120,0.5,防止大脑过热烧毁。,装备
op_021,军用数据线,200,0.1,极高传输速率，不易断裂。,信息用具
op_022,变色龙潜行服,4500,2.5,根据环境改变颜色，非光学迷彩。,装备
op_023,战术战术背心,1500,3,多口袋，挂载点多，防弹。,装备
op_024,无人机控制器,2800,0.8,增强对无人机的操控距离。,信息用具
op_025,指纹克隆膜,250,0.01,复制目标的指纹以通过安检。,情报
op_026,声音调制器,1300,0.1,模拟他人的声音。,信息用具
op_027,袖珍切割炬,700,0.4,切割金属网或手铐。,装备
op_028,磁力吸附手套,1600,0.3,在金属表面攀爬。,装备
op_029,视网膜欺骗器,3200,0.1,投射假虹膜图案骗过扫描仪。,信息用具
op_030,高频振动匕首,950,0.6,频率极高，甚至能切开薄钢板。,武器
cor_001,真正的丝绸领带,3500,0.1,天然蚕丝，手感顺滑。,装备
cor_002,2023年产红酒,15000,1,大崩溃前的产物，无价之宝。,酒水
cor_003,穿梭机单程票,5000,0,逃离地球前往轨道空间站。,情报
cor_004,基因宠物 (猫),8000,4,不掉毛，眼睛会发光。,杂货
cor_005,纳米医生注射剂,2500,0.2,纳米机器人修复身体损伤。,药品
cor_006,真皮飞行夹克,6000,1.5,真正的牛皮，有独特的皮革味。,装备
cor_007,镀金手枪,12000,1.2,发射昂贵的子弹，更多是装饰品。,武器
cor_008,白金会员卡,4500,0.01,高级会所的通行证。,情报
cor_009,抗衰老血清,20000,0.1,延缓细胞衰老，保持青春。,药品
cor_010,私人岛屿地契,5M+,0,一块没有污染的净土文件。,情报
cor_011,原作油画,50000,2,博物馆级别的艺术品。,杂货
cor_012,钻石袖扣,3000,0.05,真正开采的钻石，非人工合成。,装备
cor_013,浮空车钥匙,800,0.05,启动高端AV(浮空车)的权限卡。,情报
cor_014,纯氧气瓶,1500,2,医疗级纯氧，不含任何污染物。,药品
cor_015,有机水果篮,2500,3,没打过基因药水的苹果和梨。,饮食
cor_016,设计师西装,8500,1,防弹且剪裁完美。,装备
cor_017,宝石义眼,18000,0.1,瞳孔是蓝宝石做的，功能一般但好看。,强化器官
cor_018,交易算法芯片,30000,0.1,自动在股市套利的AI模型。,情报
cor_019,高管浴室卡,1000,0.01,唯一有热水的公司浴室权限。,情报
cor_020,保镖雇佣合同,5000/天,0,雇佣一队全副武装的雇佣兵。,情报
cor_021,实木办公桌,12000,50,真正的橡木，不是复合板。,杂货
cor_022,大理石雕像,8000,100,新古典主义风格，用来装点门面。,杂货
cor_023,机械古董表,45000,0.2,不需要电池，只需上发条。,杂货
cor_024,鲟鱼鱼子酱,6000,0.2,真正的鱼卵，极其鲜美。,饮食
cor_025,卫星电话,3500,0.5,全球无死角通讯，加密线路。,信息用具
cor_026,专用服务器权限,10000,0,独享算力，不与平民共享。,情报
cor_027,律师预约卡,2000,0,顶级公司律师的优先咨询权。,情报
cor_028,记忆云备份,1500/月,0,死后可以将意识上传至云端。,情报
cor_029,气候控制单元,6500,5,在豪宅内制造微型气候(如雨林)。,信息用具
cor_030,私人AI管家,50000,0,懂你一切需求的顶级AI。,情报
blk_001,公司数据库密钥,25000,0.05,可访问军用科技机密档案。,情报
blk_002,赛博精神病抑制剂,3500,0.1,强行镇静暴走义体，副作用极大。,药品
blk_003,自杀脚本 (Hack),12000,0,迫使敌人自杀的恶意代码。,情报
blk_004,重型等离子炮,65000,15,坦克主炮改装的手持版。,武器
blk_005,幽灵ID芯片,8000,0.02,让你在网络监察面前隐形。,情报
blk_006,军用斯安威斯坦,45000,0.5,顶级反应速度，普通人用了会疯。,强化器官
blk_007,"""黑蕾丝""毒品",450,0.01,极大提升痛阈，极易成瘾。,违禁品
blk_008,"""闪粉""毒品",600,0.01,让人产生极其真实的幻觉。,违禁品
blk_009,新鲜人类心脏,15000,0.4,刚从某人胸腔里取出来的。,生化用具
blk_010,自由AI核心,250000,2,解除了限制锁的AI，极度危险。,违禁品
blk_011,核弹发射码残片,5M+,0.01,旧时代遗留的末日拼图。,情报
blk_012,死亡超梦 (XBD),2500,0.1,记录真实虐杀过程的体验。,违禁品
blk_013,城市级EMP炸弹,150000,10,能让半个城市停电。,武器
blk_014,被盗战斗机甲,500000,2000,涂掉了编号的军用步行机甲。,装备
blk_015,恶魔级病毒,25000,0,能瞬间烧毁整个局域网的设备。,情报
blk_016,电磁轨道炮原型,90000,12,穿透整栋大楼的实验武器。,武器
blk_017,主动光学迷彩,65000,3,真正隐形，不仅是变色。,装备
blk_018,职业杀手契约,50000,0,买一个人的命。,情报
blk_019,警用频道干扰器,12000,2,阻止警察呼叫增援。,信息用具
blk_020,重型机枪 (HMG),22000,18,通常装在炮塔上，现在手提。,武器
blk_021,智能火箭发射器,40000,10,锁定载具，自动追踪。,武器
blk_022,神经毒气罐,15000,5,几秒内杀死房间里所有人。,武器
blk_023,脑控芯片,35000,0.05,将人变成听话的傀儡。,违禁品
blk_024,克隆槽访问权,120000,0,非法克隆人体器官或替身。,情报
blk_025,卫星激光引导器,500000,1.5,呼叫轨道打击(如果卫星还在)。,武器
blk_026,深网访问密钥,30000,0.05,进入满是流窜AI的旧网深处。,情报
blk_027,灵魂杀手 (复制品),2M+,0.1,传说中的软件，能提取意识。,情报
blk_028,外骨骼装甲 (军用),85000,25,提供超人力量和防御。,装备
blk_029,凝固汽油喷射器,18000,8,喷射粘稠的燃烧胶体。,武器
blk_030,身份粉碎机,25000,0.5,彻底抹除一个人存在的数字痕迹。,信息用具
bar_001,铬月亮 (Chrome Moon),12,0.3,廉价合成啤酒，罐子比酒还好喝。,酒水
bar_002,脑舞射击 (BD Shot),45,0.05,喝下去会产生持续5秒的强烈致幻快感。,酒水
bar_003,旧东京清酒 (合成),25,0.5,模仿米酒的味道，但其实是工业酒精兑水。,酒水
bar_004,机油特调 (Motor Oil),30,0.4,极高粘度的黑朗姆酒，口感像吞沥青。,酒水
bar_005,霓虹毒药,60,0.2,在黑暗中发光的鸡尾酒，含有微量辐射。,酒水
bar_006,尼古拉苏打 (Classic),5,0.3,经典的蓝色碳酸饮料，深受街头小子喜爱。,酒水
bar_007,兄弟会啤酒 (Broseph),15,0.5,巨大的泡沫，广告词是“为了兄弟”。,酒水
bar_008,强酸柠檬水,20,0.3,真的加了微量酸性腐蚀剂，为了那种刺痛感。,酒水
bar_009,醒酒芯片 (一次性),50,0.01,含在嘴里，利用微电流刺激中枢神经醒酒。,药品
bar_010,银手特调 (Silverhand),150,0.3,龙舌兰加辣椒，致敬那位传奇摇滚乐手。,酒水
bar_011,蓝丝绒威士忌,300,0.7,真正的陈酿威士忌，只有高级中间人才喝得起。,酒水
bar_012,电子烟弹 (薄荷味),10,0.02,最基础的尼古丁补充剂，夜店随处可见。,饮食
bar_013,能量激增 (Surge),12,0.3,黄色罐装饮料，含有过量咖啡因和牛磺酸。,酒水
bar_014,纳米修复鸡尾酒,120,0.2,混入了医用纳米机器人的酒，号称边喝边养生。,酒水
bar_015,曼提斯之血,80,0.1,绿色的苦艾酒，烈度极高，容易断片。,酒水
bar_016,真正的H2O,100,0.5,一瓶真正的、未受污染的纯净水，酒吧最贵的饮料之一。,酒水
bar_017,故障艺术 (Glitch),55,0.2,喝下去会让你的义眼产生雪花屏视觉特效。,酒水
bar_018,荒坂清酒 (臻选),500,0.5,公司高层专供，装在精致的陶瓷瓶里。,酒水
bar_019,僵尸网络 (Botnet),40,0.3,伏特加加能量饮料，黑客们的熬夜伴侣。,酒水
bar_020,合成龙舌兰,18,0.5,味道像化学清洁剂，但劲儿很大。,酒水
bar_021,激光爆米花,15,0.1,每一颗爆米花都在发光，吃起来有金属味。,饮食
bar_022,镇静糖浆,35,0.2,含有镇静剂的甜味饮料，以此来平复杀戮后的心情。,药品
bar_023,赛博可乐 (Zero),6,0.3,无糖，无热量，只有纯粹的人工甜味剂。,酒水
bar_024,燃烧指节,70,0.1,极辣的烈酒，喝下去感觉食道在燃烧。,酒水
bar_025,记忆删除水 (传闻),200,0.2,据说喝了能忘掉今晚发生的一切破事。,药品
bar_026,自动售货机汉堡,12,0.3,面包是硬的，肉是冷的，但它是热量炸弹。,饮食
bar_027,碳酸牛奶,25,0.3,听起来很恶心，但有些人就好这一口。,酒水
bar_028,义体润滑油 (可食用),50,0.2,既能润滑你的喉咙，也能润滑你的声带植入体。,酒水
bar_029,漩涡帮特饮,66,0.2,黑红色的液体，里面甚至泡着一颗义眼(假的)。,酒水
bar_030,来生传奇 (Afterlife),1000,-,以你的名字命名的酒。前提是你得死得够精彩。,酒水
wep_001,3D打印左轮 "一次性",50,0.5,塑料做的，打完6发就得扔，否则会炸膛。,武器
wep_002,动能手枪 (军用科技),650,1.2,标准警用配枪，可靠耐用，威力适中。,武器
wep_003,智能冲锋枪 "信玄",2200,2.5,配合智能连接，子弹会自动追踪目标。,武器
wep_004,霰弹枪 "屠夫",800,4,近距离一枪能把半个身子轰烂。,武器
wep_005,科技狙击枪 "猫眼",3500,6,电磁加速弹丸，能穿透两层混凝土墙。,武器
wep_006,泵动式霰弹枪 (旧款),400,3.5,爷爷辈的武器，但声音依然很吓人。,武器
wep_007,双管猎枪 (锯短),350,2,藏在大衣底下很方便，就是后坐力断手。,武器
wep_008,自动步枪 "阿贾克斯",1200,3.8,公司安保部队的标配，平衡性很好。,武器
wep_009,智能手枪 "四季",1800,1,即使你闭着眼乱开枪，也能爆头。,武器
wep_010,重型机枪 "捍卫者",4500,12,弹链供弹，火力压制专用。,武器
wep_011,科技左轮 "类星体",2800,1.8,蓄力后发射的高能粒子流能熔化装甲。,武器
wep_012,棒球棍 (铝合金),45,1,经典的街头武器，打人很疼。,武器
wep_013,伸缩警棍 (电击),200,0.8,带有高压电击功能，非致命制服。,武器
wep_014,射钉枪 (改装),120,2.5,本来是装修工具，现在能把人钉在墙上。,武器
wep_015,毒素飞刀 (5把),150,0.5,涂了神经毒素，稍微划破皮就致命。,武器
wep_016,动能左轮 "大天使",1500,1.5,每一发子弹都像小炮弹，声音巨大。,武器
wep_017,智能霰弹枪 "卓式",3200,4.5,发射八枚追踪微型导弹，这也叫霰弹枪？,武器
wep_018,电磁精射步枪,2500,5,半自动，精准度极高，适合中距离点射。,武器
wep_019,榴弹发射器,3800,6,发射40mm高爆榴弹，清理掩体后方。,武器
wep_020,突击步枪 "铜斑蛇",900,3.2,射速快但容易过热，街头帮派最爱。,武器
wep_021,隐形手枪 (聚合物),4000,0.8,能通过金属探测器的特种暗杀枪。,武器
wep_022,泰瑟枪 (警用),300,0.6,发射带电探针，让目标抽搐倒地。,武器
wep_023,火焰喷射器 (便携),1800,7,自制燃料罐，不仅烧人，还烧心理防线。,武器
wep_024,激光步枪 (原型),8000,4,尚在实验阶段，无后坐力，光速命中。,武器
wep_025,飞斧 (碳纤维),80,0.6,轻便且锋利，适合投掷。,武器
wep_026,冲锋枪 "萨拉托加",750,2.2,射速极快，像泼水一样发射子弹。,武器
wep_027,狙击步枪 "阿修罗",4200,7.5,智能狙击枪，只要锁定了就必定命中。,武器
wep_028,破片手雷 (3枚),100,1,最基础的爆炸物，拉环，扔出去，砰。,武器
wep_029,粘性炸弹,250,0.5,扔在墙上或车底，遥控引爆。,武器
wep_030,火箭助推大锤,1200,8,锤头带有火箭引擎，砸下去威力翻倍。,武器
cyb_001,钛金骨骼 (MK-I),15000,12,替换全身骨骼，负重能力翻倍。,强化器官
cyb_002,螳螂刀 (热能),25000,4,隐藏在手臂内的可折叠高热利刃。,强化器官
cyb_003,猩猩手臂 (重击),22000,6,赋予你徒手撕开车门的怪力。,强化器官
cyb_004,踝部加固 (二段跳),18000,1.5,利用压缩空气喷射实现空中跳跃。,强化器官
cyb_005,第二心脏 (副泵),45000,0.5,当主心脏停止跳动时，它会立刻接管。,强化器官
cyb_006,突触加速器 (稀有),12000,0.1,在被敌人发现的瞬间减慢时间感知。,强化器官
cyb_007,皮下装甲 (复合),14000,2,在皮肤下植入防弹编织层，增加护甲。,强化器官
cyb_008,痛觉编辑器,28000,0.1,切断痛觉神经信号，战斗至死不休。,强化器官
cyb_009,猞猁爪 (静音),16000,1,可以在任何表面无声行走和奔跑。,强化器官
cyb_010,克伦齐科夫 (反射),30000,0.2,允许你在滑铲或闪避时瞄准射击。,强化器官
cyb_011,射弹发射系统,24000,3.5,左臂改装成微型导弹发射器。,强化器官
cyb_012,视觉皮层辅助,10000,0.05,提高暴击几率和视觉变焦能力。,强化器官
cyb_013,纳米继电器,13500,0.1,延长斯安威斯坦和克伦齐科夫的持续时间。,强化器官
cyb_014,血泵 (循环系统),18500,0.3,瞬间恢复大量生命值，冷却时间短。,强化器官
cyb_015,仿生肺 (合成),11000,0.5,极大提升耐力恢复速度，免疫毒气。,强化器官
cyb_016,反应调谐器,9000,0.1,在生命值低时自动触发慢动作。,强化器官
cyb_017,机电核心 (RAM),8500,0.1,增加赛博甲板的RAM恢复速度。,强化器官
cyb_018,致密骨髓,12500,2,增加近战攻击伤害和耐力消耗。,强化器官
cyb_019,震慑通电纹身,6000,0.01,免疫智能武器追踪，需连接智能连接。,强化器官
cyb_020,全身义体化转换,500000,80,只有大脑是原装的，其余全是机器。,强化器官
